No_Of_Owners,car_age,Mileage,Fuel_Type,Kilomerters_driven,Price,Features_encoded,Model_encoded,location_encoded
1,9,19.1,4,9.591717684555258,1.4562867329399256,79,79,224
1,7,24.7,4,10.417208979414145,1.332366019094335,143,138,224
2,12,13.44,4,10.503669302218212,1.3837912309017721,72,75,224
1,2,20.7,4,10.333320017092587,1.9768549529047348,81,71,242
1,3,21.0,4,9.966509298952284,2.194999882314108,81,82,253
1,4,20.7,4,9.507774735870642,1.9712993830601329,81,71,219
1,5,21.7,4,9.647174939830405,1.6695918352538475,125,156,219
1,6,20.51,4,10.404293143019792,1.6389967146756448,79,163,224
2,14,20.36,4,10.819798284210286,1.0296194171811583,175,81,220
1,3,19.255853130413264,4,9.665674427237482,3.6375861597263857,74,6,30
1,3,18.1,1,10.271458456216711,2.8763855159214247,81,64,215
1,5,21.4,4,9.210440366976517,1.9740810260220096,153,140,219
1,9,20.34,1,10.819798284210286,1.5686159179138452,79,261,192
2,8,16.0,1,11.156264806643742,2.2407096892759584,74,130,224
1,4,12.6,1,10.110542371500753,3.58351893845611,148,174,253
1,1,15.2,1,9.279119887371008,2.803360380906535,74,127,224
1,6,17.5,4,11.407576060361786,1.9459101490553132,72,147,249
1,4,18.27,4,9.889033595565978,2.2700619012884857,81,77,252
1,5,18.0,4,10.36637215151178,2.3194422100604686,81,57,224
1,11,12.8,1,11.918397239722838,0.6931471805599453,9,0,192
1,5,17.0,4,10.34354730540879,2.269028309465203,79,78,253
1,3,16.42,4,10.154090616746489,2.2267833795777636,150,202,253
1,3,21.7,4,9.90353755128617,1.6486586255873816,155,156,192
1,5,20.0,1,10.093363833734193,2.343727036325221,74,129,228
1,4,18.0,1,11.156264806643742,2.6390573296152584,74,98,192
1,4,16.42,4,10.668280748548518,2.201659174404085,74,202,220
